2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 30 1 0 399.84 8
updateMktDepth 1002 31 1 0 399.85 7
updateMktDepth 1002 32 1 0 399.86 3
updateMktDepth 1002 33 1 0 399.87 3
updateMktDepth 1002 34 1 0 399.88 5
updateMktDepth 1002 35 1 0 399.89 3
updateMktDepth 1002 36 1 0 399.9 4
updateMktDepth 1002 37 1 0 399.91 3
updateMktDepth 1002 38 1 0 399.92 4
updateMktDepth 1002 39 1 0 399.93 2
updateMktDepth 1002 40 1 0 399.94 2
updateMktDepth 1002 41 1 0 399.95 2
updateMktDepth 1002 42 1 0 399.96 5
updateMktDepth 1002 43 1 0 399.97 2
updateMktDepth 1002 44 1 0 399.98 6
updateMktDepth 1002 45 1 0 399.99 3
updateMktDepth 1002 46 1 0 400.0 204
updateMktDepth 1002 47 1 0 400.01 13
updateMktDepth 1002 48 1 0 400.02 5
updateMktDepth 1002 49 1 0 400.03 6
updateMktDepth 1002 50 1 0 400.04 3
updateMktDepth 1002 51 1 0 400.05 4
updateMktDepth 1002 52 1 0 400.06 2
updateMktDepth 1002 53 1 0 400.07 5
updateMktDepth 1002 54 1 0 400.08 2
updateMktDepth 1002 55 1 0 400.09 2
updateMktDepth 1002 56 1 0 400.1 12
updateMktDepth 1002 57 1 0 400.11 2
updateMktDepth 1002 58 1 0 400.12 5
updateMktDepth 1002 59 1 0 400.13 7
updateMktDepth 1002 60 1 0 400.14 2
updateMktDepth 1002 61 1 0 400.15 3
updateMktDepth 1002 62 1 0 400.16 4
updateMktDepth 1002 63 1 0 400.17 3
updateMktDepth 1002 64 1 0 400.18 5
updateMktDepth 1002 65 1 0 400.19 3
updateMktDepth 1002 66 1 0 400.2 9
updateMktDepth 1002 67 1 0 400.21 3
updateMktDepth 1002 68 1 0 400.22 4
updateMktDepth 1002 69 1 0 400.23 3
updateMktDepth 1002 70 1 0 400.24 3
updateMktDepth 1002 71 1 0 400.25 5
updateMktDepth 1002 72 1 0 400.26 3
updateMktDepth 1002 73 1 0 400.27 3
updateMktDepth 1002 74 1 0 400.28 3
updateMktDepth 1002 75 1 0 400.29 5
updateMktDepth 1002 76 1 0 400.3 3
updateMktDepth 1002 77 1 0 400.31 3
updateMktDepth 1002 78 1 0 400.32 4
updateMktDepth 1002 79 1 0 400.33 3
updateMktDepth 1002 80 1 0 400.34 3
updateMktDepth 1002 81 1 0 400.35 3
updateMktDepth 1002 82 1 0 400.36 3
updateMktDepth 1002 83 1 0 400.37 4
updateMktDepth 1002 84 1 0 400.38 3
updateMktDepth 1002 85 1 0 400.39 4
updateMktDepth 1002 86 1 0 400.4 58
updateMktDepth 1002 87 1 0 400.41 3
updateMktDepth 1002 88 1 0 400.42 3
updateMktDepth 1002 89 1 0 400.43 3
updateMktDepth 1002 90 1 0 400.44 4
updateMktDepth 1002 91 1 0 400.45 3
updateMktDepth 1002 92 1 0 400.46 4
updateMktDepth 1002 93 1 0 400.47 3
updateMktDepth 1002 94 1 0 400.48 3
